,Tweet
18,"secret content seller here,dm me if you are a legit buyer and want too look at my menu, I work on twitter and snap (secretbaby.1) I use Cashapp and pay pal (payment first always) I can also do verification video too prove I am legit.❤️ #buyingcontent #sellincontent"
19,"Under owner Elon Musk, Twitter has allowed anyone to obtain a verified account in exchange for a monthly payment. As a result, Twitter verification is no longer an indicator that an account represents who it claims to represent."
20,@haremherd Butt at the same time people paying for a full check without the same popular status of a celebrity when you can just use twitter for free without the payment of a verification check lol
21,"@ChrisXtopher73 @kb_katey @trekkiebill There's no ID verification for twitter blue.  It's purely a payment for the subscription.  The only caveats are for the most simple forms of botting/abuse per account activity.

https://t.co/sn5SMtKQKk"
22,"There should only be one payment involved in any forfeitures because you could subscribe with just one $12 payment

But I haven't received any such information but I do have Citibank disputes... A lot of links are not working within Twitter and this verification system is not"
23,"@TwitterSupport @elonmusk @Twitter  @TwitterEng @TwitterCanada 
I changed my payment method from monthly to yearly for twitter blue, but I lost verification and all benefits 40 days ago, how can I solve this problem? https://t.co/u4G7pLK10l"
24,"@elonmusk Mr. Elon Musk, can you think about the one-time payment for Twitter Blue Verification?
And why is it that my post engagements are too small compared to those who are verified?"
25,"@EdKrassen You don‘t verify a person’s identity via monthly payment.

You do it by making them prove they’re a real (legal) person. Banking and other apps do it every day.

 Twitter should offer actual verification, not just a paid-for check mark."
26,"@brainjotter__ It is fake account (promote account)
It account is used for ""promoting"" personal account on any social media and receive payment from those people or person.

Be careful
""No verification""👀
The real man ☝️😃 don't have Twitter account."
27,"@Chiefpriiest It is fake account (promote account)
It account is used for ""promoting"" personal account on any social media and receive payment from those people or person.

Be careful
""No verification""👀
The real man ☝️😃 don't have Twitter account."
28,"@TwitterBlue 
Hello, my account used to have a verified badge and I was a Twitter Blue subscriber, but my account verification was removed due to a payment issue. However, I have since resolved the payment issue. My account has been under review for days, could you please verify it?"
29,"@ancapchoquei @elonmusk 
this guy claims to have received the verification from twitter without having made any payment and without anyone having paid, he also claims that twitter himself gave it to him for free"
30,@elonmusk do you also pay for bluetick verification on Twitter if yes then show us your payment receipt and if not then why?
31,"So let's see ... Twitter Blue / new verification is a way to identify the individual via the payment method.

Gradual sinkholing of non-verifieds along with the potential to personally target verifieds now that they've identified themselves. Then there's 'X'.
Hold that thought."
32,"@TwitterSupport @elonmusk @Twitter  @TwitterEng @TwitterCanada 
I changed my payment method from monthly to yearly for twitter blue, but I lost verification and all benefits a long time ago, I attached a photo verifying that I am subscribed, how can I solve this problem? https://t.co/qQWvpNigsB"
33,"@worstideaevar @koustavhazra1 @alx What actually happens is the payment for verification killed all the bot accounts that posted in support of libs and were artificially boosted and now that boost goes to anyone who pays 8…thus, the propaganda is slashed and you the the truth more on Twitter."
34,"This is going to be interesting🧐

I think Twitter will be the ""everything platform"". Information, news, discourse, payment &amp; identity verification.

Lots of work remains to be done but I see nothing but potential with this platform🤔"
35,"@TwitterSupport @elonmusk @Twitter  @TwitterEng @TwitterCanada 
I changed my payment method from monthly to yearly for twitter blue, but I lost verification and all benefits a month ago, I attached a photo verifying that I am subscribed, how can I solve this problem? https://t.co/ftCeGdnmzJ"
36,"@elonmusk I truly congratulate you on your decision, making Twitter blue verification available on payment for every one, now the feed is all blue!!! Those without are really special!!! or maybe just poor..
before the end of this year Twitter will be of much great value..."
37,"@verified Hey Twitter 
My acount verified after bule program and but before blue program my acount is gone verification but I am pay my payment but my acount not verified 
Why ??
#TwitterBlue 
#EllenMask"
38,@dogeofficialceo @elonmusk Yes. Pls accept my #BTC wallet payment and allow yearly plan subscription without breaking my Twitter Blue verification for few days.
39,@Hills_Diaries @Does_n0t__exist @instablog9ja I got my 1.4m already with big  apology now focus on how u will pay for next month Twitter verification 😂 Abi na double payment u sharply do use hunger hold body for blue badge for the next 6 months 😂?.
40,"@elonmusk You should create a virtual Twitter currency to make micropayments, to promote tweets, make polls, etc. And make the verification process with a single payment"
41,"On the flight from Berlin watching Ready Player One and there’s this scene where

Elon explains to Dorsey his idea for making Twitter a tiered-payment system using the verification badge. https://t.co/bJu53HPUmv"
42,"@czechmubarak @DanielRegha This is the result of Twitter making the verification blue Tick accessible to all subscriber's via payment
You who was previously not verified &amp; who craves approval &amp; finds a sort of fulfillment by having it on your profile is now mocking some other person for not being verified"
43,"@TitterDaily What a joke Twitter Blue has become, now you have to give it away. What happened to fighting bots using payment as a verification system?"
44,"@BillyM2k Twitter is awesome! As for meta they refused my check payment, siting a bad pic? 😂The physics of business is to take the money. Why would they expect art and music and not a verification payment? Odd? https://t.co/D6WVFzxmfc"
45,@verified @TwitterSupport I have paid the annual subscription amount for the blue-tick on 19.4.23 But yesterday I lost my  verification and I am not done any of the changes in my account. So please see the matter and it’s not showing the payment details in my Twitter account.
46,"💻 He said a prime example was Elon Musk, who took over Twitter in late 2022. The report criticises his new paid-for verification system, saying Musk was pushing ""an arbitrary, payment-based approach to information to the extreme""."
47,@verified @TwitterSupport I have paid the annual subscription amount for the blue-tick on 19.4.23 But yesterday I lost my  verification and I am not done any of the changes in my account. So please see the matter and it’s not showing the payment details in my Twitter account.
48,@TwitterSupport I have paid the annual subscription amount for the blue-tick on 19April 2023. But yesterday I lost my bluetick verification and I am not done any of the changes in my account. So please see the matter and it’s not showing the payment details in my Twitter account.
49,"@TwitterBlue @TwitterSupport @elonmusk I'm a paying customer, I was verified and paid you guys what's the problem with the check mark? You gave it to me, then you remove it? Do you think that payment would be enough verification of who I am?  Twitter employees do I need to call Space X or Tesla to ask them to locate my Blue Check Mark"
50,"@TwitterSupport @elonmusk @Twitter  @TwitterEng @TwitterCanada 
I changed my payment method from monthly to yearly for twitter blue, but I lost verification and all benefits a month ago, I attached a photo verifying that I am subscribed, how can I solve this problem? https://t.co/Yozc2E04eD"
51,"Hey twitter, DM if u’re interested to work with Banking Customer service 
Salary : RM2,000 - 3,000
Contract : 6 month 
Location : Plaza 1 UOB
Job scope: Call existing customer for any confirmation verification and for overdue crdt crd payment.
Cc. @RevathyShirley

#kerjakosong"
52,@elonmusk @AlexBerenson This is why it’s important to stay anonymous while browsing twitter. The consequences are real. And why payment verification of blue checks and therefore subscriptions will be held back.
53,"Hey twitter, DM if u’re interested to work with Banking Customer service 
----------
Salary : RM2,000 - 3,000
Contract : 6 month 
Location : Plaza 1 UOB
Job scope: Call existing customer for any confirmation verification and for overdue crdt crd payment 

#kerjakosong #JobVacancy"
54,"A better Twitter would:

1. Deescalate mob dynamics algorithmically
2. Have community moderation via negative scoring
3. Reward effort with positive scoring
4. Unlock features via reputation score, not payment
5. Reward constructive engagement
6. Verification via domains
7. ?"
55,"So. You put “blue check” in your bio, and you get a blue check on Twitter. No payment required. 

Verification on Twitter began as a way to drive down disinformation. 

I know this will be short lived, but it’s wild how much of a complete disaster this bird app has become…"
56,"@j7vii @OmarRiverosays @MaroonWendi The service being twitter, but the blue check is a verification on that service that Musk took away and is demanding payment for, and if refused, they don't get their verification and anyone can imitate them for $8 per month.

You cannot coerce endorsement."
57,@TwitterBlue It's been over ten days post payment and we are being charged for Twitter Blue - but no verification. This was when we were verified previously.
58,"Quite apart from the fact he's never getting payment details from me, it's almost like he doesn't want any news on twitter (see also kicking journalists off, labelling companies ""State Media"", making verification meaningless), who would want no verifiable news on here I wonder..."
59,"@TOPDOGE007 @BurgerKing First : Should @elonmusk accept $DOGE ? @Twitter Blue Verification method of payment $TESLA 
Lead by example."
60,"Most people don't want to give Twitter a method payment, so they won't.

But.. What if there was a good reason to do that. Even if you weren't charged anything?

Usually the reason they push it is 'verification'

4/7"
61,"@artistlover0 Because the system didn't work perfectly in the first place. Often times creators wouldn't get verified and claims of twitter reps asking for payment from creators in return for verification were frequent. Also, once again, famous people do not matter."
62,@Kaasi_dQ @dulQuer @verified Twitter needs payment for verification mark.
63,"I want to Lex. But Twitter subscriptions are acting funny. Paid for verification. Got verified, a few days later that's gone. 

Kinda don't have confidence in Twitter payment verification processes just yet. I'll wait till it matures a bit before I subscribe to informative and interesting feeds like yours."
64,@alhajabalance But my guess is that a good percentage are subscribing to Twitter blue because of the verification. They will just opt for the one-off payment instead
65,Oh well my blue verification check was taken away earlier this week. I haven’t been into twitter much for months. I am good!  Really who is the verification and the payment for? Nope I am good!
66,"Just some crumbs for you.
Verification now requires a payment from who? And where?
Verification now requires what kind of ID?
Who didn't have this info before but now does?
Who worked at Twitter abused said info?
Not all gifts are as they seem.
Citizen journalism is"
67,"@AhuwaOboro @fabulousdora123 @adaigbo_2022 So na payment Twitter verification suppose be? 😂🤣🤣🤣
Chaii wrists watch and cup of tea o
Something that Elon musk will remove if they can't pay the $8 lol"
68,"So twitter replies is now prioritised by paid members. If it was about verification they could just check your details, or a verification fee, why the ongoing payment?"
69,"@adamntweet @Twitter @verified @TwitterSupport @elonmusk @GaryGensler The second photo I provided is of my verified Verification payment. I had a Blue Check mark until Saturday, when they removed it, and then canceled my Ad due to the above rules. It was their loophole. Cancel my verification, and silence the Truth."
70,"@RobertPortwoo14 @e_galv I agree that free speech always has a price outside of Twitter and a monthly payment
Just to clarify, I’m not against anyone wanting their voice prioritized where more people can see tweets and engage
It’s just sad that a verification is being used as an opportunity for a revenue"
71,"So @TwitterBlue @TwitterSupport @Twitter you took the payment for twitter blue but no verification even thou I’ve had it before.

Can we get this sorted please"
72,"Cassper Nyovest declines to make payment for Twitter verification https://t.co/Ms1a4Jx0Ue

#cassper #elon_musk #Twitter"
73,"@elonmusk That's not fair Bangladeshi uneducated politicians don't use Twitter that's why we don't have payment options for blue tik verification. do something for that 
#ElonMusk 
#Bangladesh 
#BlueTick"
74,"All platforms should join in the blue verification button. 

However, when one pays for the blue verification button, that payment should apply to be verified on all major platforms like Twitter, Meta, etc..

I want to buy it but it’s costly to be verified on all platforms."
75,"@TwitterSupport 
@Twitter @TwitterCanada @elonmusk I changed my payment method from monthly to annual for twitter blue, but I lost the verification for some days and all the benefits, checking I appear subscribed, how could I solve this problem ? https://t.co/m6peNVOySp"
76,The blue check verification subscription payment thing was easily the dumbest move Twitter and that other app made because now it’s easier for people to take advantage of artists and scam them that’s if the artist doesn’t do research on these verified AnRs and crew smh
77,"@skdh @DrBrianKeating @elonmusk Basic users (pseudonymity), Verified Users (make a request, make a one off payment, KYC tools are not free), Twitter+ (Blue) that offers an optional free verification amongst the perks it’s monthly fee offers."
78,"@elonmusk What happened to the idea of the 'Common Digital Town Square'?  

Doesn't a subscription model torpedo the open/ accessible ethos?

Why wasn't a 'one- off payment for verification' idea pursued?  Simply to save Twitter from bankruptcy?"
79,@SwissTeslaphile @elonmusk No verification. Just payment and whoever he gave blue ticks because they are too important for him to lose from twitter.
80,@SethDillon Verification should be a one time thing and a one time payment. Ongoing features should be on the subscription model in Twitter Blue
81,"Are you sure that’s all it means? I might be mistaken but I thought Twitter now has a verification process that is much more than just accepting $8 a month.
It took Twitter a few days to accept my application. Was more than just accepting the payment.
And wouldn’t that at least make fraudsters traceable?"
82,"Payment receipt verification is working as intended 🤡
https://t.co/QSfKhqf7w6

If you want a signal for actual identity verification, look for a grey checkmark (until Twitter also screws that up too)."
83,"I used to think Elon was a genius but then...

- blue check fiasco (verification should be 1 time payment &amp; separate)
-no fire diverter destroying the pad 
- removing ultrasonics before adding cameras 
- not seeing that his Twitter behavior is making people not want his products"
84,"In order to use the verification mark on Twitter, I have to pay through an internet browser instead of through the Android app. Is this a way to bypass Google's payment fee policy? https://t.co/Sgy3YvbZ4v"
85,"‘Give it to charity’: Stephen King ticks off Elon Musk over Twitter badge payment

The author asked Musk to give his blue tick verification badge to charity. King also suggested Musk donate the money to a foundation providing services in war-hit Ukraine.

https://t.co/CvPpcLAQYg"
86,"@HackDotSlash @skedd_ @StephenKing What makes him a dunce? What part of ""Twitter was months away from bankruptcy"" do you not comprehend?

And how does it nullify the point of checkmarks? Requiring payment for verification implies that bot swarms would be financially unsustainable. Not to mention easily detectable"
87,"@MarioNawfal Does Instagram make notable people pay for verification, or is payment offered to regular folks who want to be verified too?

And is it actual verification? Because Twitter Blue isn’t. You don’t have to use your real name. Nothing is verified except that you paid $8."
88,"@robertmclaws @gazorperzorp @TimothySouza21 @DocBrownLloyd ""...required &lt;twitter&gt; to store pictures of your drivers license ...""  

&lt;looks at the the 'verification' for the ""twitter blue"" &amp; so they'll now be storing phone numbers/payment info&gt; 

OooOOOoooh, so much better! https://t.co/epzpjnN4cQ"
89,"The amount of people who give a shit about a bunch of dead people having verification on twitter because of the description that claims payment is too fucking high.

GO FUCKING WORRY ABOUT SOMETHING MORE IMPORTANT

These people need to take a break from the internet."
90,"@photomatt If Twitter was run with the thoughtfulness you bring to sites &amp; networks, paying a subscription would sit well.
Muddling of verification and payment has damaged the utility of verification.
Twitter has become hell for a wide range of people with Musk’s blessing and encouragement"
91,"@elonmusk Hmmm what is the verification process? A paid vote or an actual human being.

Because twitter's current ""verification"" process is nothing more than a payment."
92,"Yeah, but this adds a financial transaction. Twitter hired Swipe to do the transaction and the whole point is a layer of verification. I don't think you can purchase a GPlay card and use it to buy Twitter Blue. You have to do it through an account with an attached payment method (CC# or bank account)?

If you buy access for a bunch of bots and get banned, I'm certain the Swipe system will close all of the accounts associated with that payment method."
93,"@paul_seabury_tx @LoriScintillaa @elonmusk Musk could have given everyone verification, it's not hard, you just verify  ID, as they did with legacy checkmarks. I think it would have been fine to ask for a one off payment to cover admin, but Musk wanted  make up for overpaying for twitter, which has been passed on to you."
94,"@micsolana The old system was flawed, the new system is dumb… Twitter should have verification through an extremely open and transparent process that is independent of payment. Separately, having a payment based “human” verification is fine, just not for the “I am who I say I am” part."
95,"@Mark_D_Bertram @pattonoswalt it's part of elon's bitcoin payment verification plan through https://t.co/WM2fnxrymq. the goal of twitter blue is to get people warmed up to paying for digital verification for bitcoin schemes. Also, go eintracht."
96,"Twitter removes thousands of account verification markers for lack of payment

You can sponsor a celebrity for just $8 a month on #twitter.

#TurnOnTuneInDropMSM
#twtterblue
#babylonbee

https://t.co/AoljKcU4kq"
97,"@albyva @AptisXiii @RGVaerialphotos Problem 1 - the payment has replaced verification which no longer means anything.
Problem 2 - it is being introduced at a time when twitter’s service level, curatorship &amp; reputation for balance is visibly suffering."
98,"Meanwhile Elon musk also offered complementary verification to NBA stars like Lebron James &amp; William Shatner  

Twitter continues to wipe legacy accounts with blue ticks ushering in a new era of payment for verification. https://t.co/YekNFhwzbn"
99,@JVSylvester there's no meaningful verification of identity on Twitter now. The blue tick merely signifies payment and possession of a mobile phone.
100,@olusogaowoeye @hadizel @elrufai FG will soon add Twitter verification payment to her budget.
101,"Watching commotion and split debate about Twitter's Blue Check while random celebs ""complain"" on getting it back without payment nor verification...

#OccupyTwitter #BlueBarge https://t.co/vnqusc7df2"
102,"The appeal of Twitter is following cool, real, notable people—seeing larger-than-life figures in their own words. Following news, politics, artists, etc. This evaporates when the only thing that “verification” verifies is a payment, not authenticity. @elonmusk is a fucking idiot."
103,"@Jason Those other things provide value.  There is no value to subscribe to Twitter (its no longer verification, just proof of payment).   Famous people don't need to chase clout..."
104,"Twitter must make a process that payment should be deducted only when #BlueTick appears on account. They deduct money and give tickmark one week later on the name of verification lol. What verification? Profile picture change verification? Do they know real picture of applier? LOL

@elonmusk @Twitter @TwitterSupport @verified @TwitterBlue @TwitterIndia #ElonMusk #TwitterBlue #TwitterBlueTick"
105,"@whenpigsflyyy @David_Leavitt @FeedingAmerica (4/🧵) yes, ads are there. But relying only on ads have several possible negative outcomes. That doesn't mean twitter blue is perfect. I think it's stupid that twitter blue still serves ads and that's why I won't get Twitter blue. But I like the idea of payment verification."
106,"@elonmusk What about those who can't afford, but are willing to verify anyway by offering debit/ credit details to Twitter, just for that vote?Just not making the payment?And not for any facilities/tools offered by Twitter Blue, but a 1 time verification? I'd be interested."
107,@krassenstein @EdKrassen The solution is that @elonmusk . so @Twitter and other given mega creative platforms require valid ID and proof of address less than 3 months old to register people already. with the payment of the verification badge it would be better
108,"@mfiinha @elonmusk I tried to get the verification by web but the credit card system didn’t allowed the payment in BRL, it should be charged in USD. I’m still waiting a response from Twitter Support."
109,"@LuxAlptraum Honestly, even paying for verification wouldn't necessarily be bad - as long as the verification still happened. 
The problem is that there's no verification attached to Twitter Blue - other than the payment clearing."
110,"@judgeluttig Are you deliberately lying in public or do you honestly not comprehend that twitter itself is free, therefore your claim of ‘requiring payment for the privilege of posting content’ is completely false? The service is free. The verification is a paid service. Words matter."
111,"Twitter went from verification of social status to basically verification of PAYMENT. But ppl will tell you how much Elon Musk is doing for America.

He's using the same playbook they've used on the right for years. Make ppl think theyre helping out when really it's about money."
112,"@enL3X1 @tomcoates Twitter Blue needs to offer real verification, not just payment."
113,@mohammedhersi @Twitter Verification of what exactly? That a payment has been made? What else is verified? Is there a foolproof mechanism stopping verification of a fake account? Just asking. 🤔
114,"@elonmusk Don't you think Payment Verification will increase scammers since anyone who pay get verification? I see there is high tendency of false information since any one with 8 $ is verified ?
How Twitter going to prevent that?"
115,"Honestly, I was thinking that , when a Twitter customer like me pays the $84 annual Tariff for Blue Verification that payment automatically guaranteed that the Twitter’s account owner was protected from hackers, and that the Twitter’s account identity and personal information was protected too. It is so disappointing to witness that no matter what you pay for Twitter Blue your Twitter account is not protected on the contrary the Twitter account is vulnerable. Maybe it was a mistake to fire the 80% percent of Twitter Support Team."
116,@joky0707 @wongmjane IG and other platforms have much more stringent verification procedures so the famous or well-connected had confidence there would be no fake profiles. Twitter used to do this w/ a free blue check but now requires payment- which other platforms do not require.
117,"The Twitter ticks have changed. A grey tick confirms that the account is run by government, golden and blue ticks separating payment verifications and twitter verification. #verification #BlueTick #BluetickForMoney #ElonMusk https://t.co/xGwjHCOVKI"
118,Twitter has put the law of payment for verification blue sign. That is why you lost it.
119,"Nor, is the network effect something unique to Twitter.

And, while I think that payment is a verification method amongst an array of verification methods.  

The crux of this argument seems to be ""pay to play"" which feels just odd."
120,"@greg16676935420 Yeah absolutely 😂.They got a lot of payment for their work,but didn't pay for Twitter Verification 😁"
121,"@alx American People: What about the laptop full of evidence, payment records on the Biden Family, or the 50 intelligence officials that signed a false testimony to discredit and cover up said laptop before the election?

News Outlets: Twitter is in chaos over $8 verification fee."
122,"@Ian_Schwartzman @IsaacHayes3 What good is ""verification"" if all it requires is an $8 monthly payment? What are they verifying if any old schmoe like me can just pony up. It's a grift and Elmo is tanking twitter."
123,"I'd pay $8 a month for additional or premium features of an app that I already like and use.

But Twitter claiming that verification is occurring is a lie. It makes this app a risk. Giving a risky app any payment info is such a no-go, it's unfathomable to me anyone would."
124,"@bobbob1016 @digumtree @simonpegg The verification cost nothing, show me a single twitter policy or screenshot of a payment option. Just because some twitter employees were selling blue checks deasbt mean that's how anyone of note got the check."
125,@Crespo1Ein @CNN Everyone must pay the $8 like the rest of us. Nobody is special. The payment also assists Twitter with verification.
126,@RyanN_41 @SLessard $8/mo doesn't verify anything but a payment and a phone number. True verification and protection from copycats is a $1000/month subscription. Someone has to pay that $40B for Twitter and it ain't going to be Elon.
127,"@Tee_Hasn Twitter is providing a service and need to get paid for it. I don’t see anything wrong with that.

Also, I feel a process comprised of people is easy to corrupt. But a payment method is simple. With payment the process of verification is already handled by the payment bank."
128,"@Meghna_venture @BeckettUnite @elonmusk I bet he's among the people saying he's wasting money when he was about to buy twitter, people like him now complain about the verification payment"
129,Twitter's blue checkmark is no longer a verification badge....Therein lies the problem. Why pay when what's verified is payment...not identity?
130,"Sergio Ramos, PSG Star, Criticizes Elon Musk, CEO of Twitter, for Removing Blue Verification Badges from Individual Accounts Worldwide, Accusing him of Coercing Payment and Profit-making. - https://t.co/c5k8WwWM6a https://t.co/zjs1ezECNq"
131,Has Twitter's credibility been affected by the recent reintroduction of payment for its well-known blue badge verification?
132,Subscribing for verification is flawed . It should be a one time payment . @elonmusk we know @Twitter costed for a reason .
133,"I would have been OK with being asked to pay a bit for twitter. But tying payment to the blue tick was &amp; remains an incredibly stupid idea. Ultimately it will destroy twitter, unless some other method of verification is introduced."
134,"@TriciaD11cat This is Twitter, you have a blue check because you can pay and have a phone number. 
There is zero proof really that you are who your profile says you are.
Payment and phone numbers can be falsified with ease
Verification (confirmation of an identity) no longer exists on Twitter"
135,"@Ian_Schwartzman I have four twitter accounts for various ventures; sports clubs; brewing; running; business

 Verification of my soul only comes from payment…nope"
136,"@AnilSinghvi_ @elonmusk Ans 1 : No
Ans 2 : Yes
If we need to pay for verification, if any frod account opened on your name Twitter should  pay 100x of yearly payment to you.

If they need verification they must be responsible"
137,@elonmusk @charliesheen I tried to purchase Twitter Blue on android and just blank screens on payment verification screen. Hope this helps. Massive fan Elon.
138,"@mojilo_manas Many ppl   sign up &amp; access twitter for raising complaints, those won't know all these detailed things about verification. Blame is not on the company but verifying account without any details xcept payment is not good na.  tw will change this soon."
139,"@Great_Chumpion I can’t believe people pretend that payment = verification, and people want to pay Musk so they can produce content that Musk can use to encourage advertisers to pay him to advertise products on Twitter.
People once provided content for free on Twitter which gained advertisers"
140,@sportswithjohn It's not verification of your identity; twitter doesn't care if you're real or not. It's verification of your method of payment.
141,"@Twitter @elonmusk Is there still some type of verification process to combat imposters, along with the monthly payment for Twitter Blue? Maybe something like the name matching up to an ID or credit card?"
142,@ringsidenews_ The verification process was broken long before Elon took over… It should have been open to everyone not just who Twitter deemed to be important at the time. There should still be a verification process to combat imposters along with the monthly payment.
143,"and Speaking on the @Twitter Blue Tick Verification BADGE which is currently making the {Payment of $8 per Month} TREND on Twitter #USA🇺🇸 and Twitter #Canada🇨🇦🍁,

Dear @elonmusk Honestly Verification-BADGES are MEANT to be on Merit by APPLICATION and not MONETIZATION.

#ElonMusk https://t.co/swL5cyX1Rr"
144,"@RothchildJohnny The issue is not just payment but that verification can now be bought. If I want to pay to pretend to be Bill Gates, Twitter will let me do so. Maybe people will notice that I don’t have as many followers and not be mislead, but mostly this is causing confusion"
145,@VincentCrypt46 @realDonaldTrump @TwitterSupport @ellagirwin @elonmusk I think this is part of the verification. The payment has to come from an account associated with the account holder. Twitter blue checks could be morre secure than the U.S election.
146,"@JenMsft The only thing I'd maybe have paid 30-50 $ for ins a one time payment to get Twitter to look at my profile / ask me for some credentials to verify I'm legit and then giving me a badge.

Before Twitter verification was basically not available for 90%, even tho they were real."
147,#DOGE may soon be accepted as a payment method for Twitter's blue verification tick.  🤔 🐕💎 #cryptocurrency
148,The thing that's so weird is that Twitter Blue is not *verification* of anything anymore. It's just payment to Twitter for a tiny blue check mark. I've yet to see a legitimate Twitter Blue subscriber that isn't a dopey sycophant or an obvious scam/troll namelotsanumbers.
149,"Twitter hasn't been known as a political platform since today. Verification is verification by ID, not by payment. To reach more people now you have to pay. Twitter before your era was a more democratic and more pluralistic place than it is with you as CEO."
150,"@keithboykin If #elon_musk was truly asking people to #PayThe8 as a means of ID verification, a 1x payment of $1 would suffice. He describes Twitter as the “town square.” So, the richest man alive is charging $8 per mo for a badge needed to participate in society.#ElonIsDestroyingTwitter"
151,"@EdKrassen Does the $8 fee ensure that your account goes through a verification process (which benefits all Twitter), or is it merely a record of an $8 payment?

If it’s the former, then you’re purchasing something of value, if it’s the latter, then you’re paying for….pffft."
152,@Depheruk @elonmusk @Twitter @TwitterBlue He won't charge you. There's no payment details so he can't. I think they're slowly dishing out verification again tbh. He couldn't run a bloody bath.
153,"@lukacsy @a319442 @EdKrassen @StephHoover8 There was never a verification in the first place. Twitter was full of scam bots, and all of them had verified accounts. Faking an ID with Photoshop is easy, and that is what scammers did. The verification is now done with the payment (bank) which is costly to trick for bots."
154,"Feeling very validated in my theory that the future of Twitter is best predicted not by any verification drama but by the Tesla stock price

Reminder that Twitter is carrying a $1.2bn annual debt payment that it cannot afford &amp; Musk can only afford by selling Tesla stock https://t.co/KdyihZ92w2"
155,"@elonmusk is just being the eccentric and quintessential billionaire capitalist that he is. At twitter, it is now payment by subscription first before blue verification check marks services."
156,"@EdKrassen Celebrities aren’t special! Only celebrities who provide free shows, make their movies free to watch at cinemas can get free verification. Wait they all require payment for their content. Let them pay for Twitter!"
157,"@EdKrassen If they usually pay for VIP services in other areas - why not pay for Twitter’s verification to enhance their identity security &amp; protection? 

I agree with @elonmusk regarding the payment."
